"cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type"
"GluN","ALG3",-0.0251483225377897,0.953664218812963,0.973555245393071,"pseudobulk","edgeR","LRT"
"GluN","ALG5",-0.242286606378251,0.369223464870847,0.539803970380378,"pseudobulk","edgeR","LRT"
"GluN","ALG6",-0.222662113798315,0.403053531421825,0.571840750294722,"pseudobulk","edgeR","LRT"
"GluN","ALG8",-0.0992405314252241,0.76225083801147,0.856218967537392,"pseudobulk","edgeR","LRT"
"GluN","ALG9",0.0487889279602883,0.836131783545074,0.904758373706679,"pseudobulk","edgeR","LRT"
"GluN","ALG9-IT1",1.27665029593485,0.0201097183522694,0.0656937350770448,"pseudobulk","edgeR","LRT"
"GluN","ALK",0.181413471539515,0.715288246283212,0.824977718229958,"pseudobulk","edgeR","LRT"
"GluN","ALKAL1",3.96176406703458,0.0155678833903948,0.053960845811918,"pseudobulk","edgeR","LRT"
"GluN","ALKAL2",-1.09133850894543,0.00746820922947097,0.0308606582137145,"pseudobulk","edgeR","LRT"
"GluN","ALKBH1",-0.414229542123653,0.145831021143316,0.284259405585319,"pseudobulk","edgeR","LRT"
"GluN","ALKBH2",0.487631441506324,0.176427374746517,0.326004338032744,"pseudobulk","edgeR","LRT"
"GluN","ALKBH3",-0.278608498937659,0.314150798568614,0.483700053871997,"pseudobulk","edgeR","LRT"
"GluN","ALKBH3-AS1",-0.26235742900151,0.521688607141155,0.676433631941361,"pseudobulk","edgeR","LRT"
"GluN","ALKBH4",-0.342137906230412,0.269604544650676,0.435636751784499,"pseudobulk","edgeR","LRT"
"GluN","ALKBH5",0.152167329223536,0.543051182309678,0.693115741815428,"pseudobulk","edgeR","LRT"
"GluN","ALKBH6",-0.359152083890872,0.427975323563537,0.594522642793246,"pseudobulk","edgeR","LRT"
"GluN","ALKBH7",1.1538264241849,0.00281061875166809,0.0144901235926577,"pseudobulk","edgeR","LRT"
"GluN","ALKBH8",-0.376866823423046,0.191302267157015,0.345181427104368,"pseudobulk","edgeR","LRT"
"GluN","ALLC",1.13976144670856,0.128369833770468,0.258982192116749,"pseudobulk","edgeR","LRT"
"GluN","ALMS1",-0.397248696218702,0.0863862204447227,0.193313230498903,"pseudobulk","edgeR","LRT"
"GluN","ALMS1-IT1",-0.0285899207062412,0.954784913519501,0.974312235111818,"pseudobulk","edgeR","LRT"
