"cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type"
"GluN","AC022068.1",-3.12922225893267,8.0834289271437e-07,1.65396503628717e-05,"pseudobulk","edgeR","LRT"
"GluN","ADAMTSL2",-3.12810453824784,5.17671498374222e-15,6.73519014867895e-13,"pseudobulk","edgeR","LRT"
"GluN","NRSN1",-3.12696679889744,1.13913061199719e-26,1.09765913815417e-23,"pseudobulk","edgeR","LRT"
"GluN","GRIN2A",-3.12488105710838,9.8344568199347e-31,1.68469708912604e-27,"pseudobulk","edgeR","LRT"
"GluN","STAC2",-3.11221023341825,2.53204151251598e-10,1.36495629437815e-08,"pseudobulk","edgeR","LRT"
"GluN","MIR3681HG",-3.10971347615558,1.73704535099082e-06,3.20087014993946e-05,"pseudobulk","edgeR","LRT"
"GluN","TPD52L1",-3.10773144020036,1.07328760971085e-24,8.07190815742291e-22,"pseudobulk","edgeR","LRT"
"GluN","TSHZ2",-3.10253692296086,3.52566457161777e-08,1.08388700962945e-06,"pseudobulk","edgeR","LRT"
"GluN","SEMA3E",-3.10194845806973,7.66447353404062e-16,1.15850020304972e-13,"pseudobulk","edgeR","LRT"
"GluN","TDO2",-3.09296447460832,2.6186485634996e-07,6.26018404807259e-06,"pseudobulk","edgeR","LRT"
"GluN","AL133346.1",-3.09184565829816,1.312773323954e-09,5.97040788261379e-08,"pseudobulk","edgeR","LRT"
"GluN","AC104123.1",-3.07796274106625,1.96134237279343e-14,2.3624215650424e-12,"pseudobulk","edgeR","LRT"
"GluN","AL158077.2",-3.07447866618788,6.95187276865986e-23,3.82787494324334e-20,"pseudobulk","edgeR","LRT"
"GluN","HCRTR1",-3.07371079606911,8.55767136087609e-13,7.64857380906128e-11,"pseudobulk","edgeR","LRT"
"GluN","AC103726.2",-3.06484766281477,2.94918891247503e-07,6.92598934624278e-06,"pseudobulk","edgeR","LRT"
"GluN","DGKG",-3.0612934266271,5.13545215896456e-17,9.59707074676801e-15,"pseudobulk","edgeR","LRT"
"GluN","AC068205.1",-3.04942573066496,4.98554071269484e-12,3.78643221369324e-10,"pseudobulk","edgeR","LRT"
"GluN","FBXO32",-3.04602923416473,6.24407493938789e-11,3.88058654650805e-09,"pseudobulk","edgeR","LRT"
"GluN","AC018467.1",-3.04403922219709,6.26091425450203e-08,1.80594285348522e-06,"pseudobulk","edgeR","LRT"
"GluN","PCP4",-3.04014876791503,2.67036552919467e-17,5.2446319167336e-15,"pseudobulk","edgeR","LRT"
