Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
TP73,1.998619629,6.160271619,2.197548807,0.646150656,0.261083756,0.467357232
CCDC27,0.470263442,2.887627321,0.732516269,0.380088621,0.391625634,0.467357232
LRRC47,17.8700108,18.48081486,12.45277658,19.1564665,17.84072334,18.6942893
CEP104,34.79949472,42.92939284,30.7656833,58.00152356,53.56568398,53.95379605
DFFB,17.39974736,28.49125624,11.72026031,26.34014143,22.84482867,27.52214813
C1orf174,7.289083353,10.39545836,8.05767896,3.99093052,5.48275888,3.635000696
LINC01134,0.470263442,0.577525464,0,0.380088621,0.261083756,0.36350007
LINC02780,0.352697582,0.385016976,0,0.228053173,0.304597716,0.467357232
AL805961.1,0.470263442,0.577525464,0,0.646150656,0.304597716,0.311571488
AJAP1,18.57540597,28.10623926,20.51045554,76.92993689,73.53859132,99.07973327
Z98886.1,0.705395163,0.385016976,0,1.406327898,1.784072334,2.492571906
LINC02781,0,0,0,0.418097483,0,0.259642907
AL365255.1,6.46612233,8.470373476,3.662581346,9.464206662,7.701970807,4.51778658
NPHP4,23.04290867,43.31440982,23.44052061,46.59886493,47.47372966,52.1362957
KCNAB2,20.57402559,23.67854403,13.18529284,33.44779865,33.11412308,50.68229543
CHD5,43.96963184,83.16366685,50.54362257,230.5617575,139.24467,230.0436155
RPL22,249.5923219,132.4458398,134.0504772,45.11651931,72.53777026,29.44350564
RNF207,17.8700108,11.16549231,10.25522777,29.19080609,19.92939339,16.87678895
ICMT,10.11066401,13.28308568,5.860130153,8.437967386,11.48768527,8.464358765
GPR153,18.57540597,15.20817056,11.72026031,12.50491563,7.571428929,2.64835765
ACOT7,57.72483752,49.08966446,46.14852495,87.45839169,77.10673599,75.19258584
AL031848.2,1.175658605,0.192508488,0.732516269,0.836194966,0.261083756,0.675071558
HES2,1.175658605,1.925084881,0.732516269,0.152035448,0.217569797,0.155785744
ESPN,1.645922048,2.502610345,4.395097615,0.342079759,0.304597716,0.467357232
TNFRSF25,18.69297183,29.26129019,21.97548807,33.82788727,16.14367892,31.00136308
PLEKHG5,14.69573257,10.58796684,17.58039046,24.13562743,14.70771826,21.81000418
NOL9,31.62521648,33.30396844,23.44052061,42.30386351,35.50739084,44.13929417
TAS1R1,2.939146513,5.00522069,5.127613884,0.72216838,0.435139594,0.934714465
ZBTB48,11.05119089,12.32054324,18.31290673,33.14372775,18.18883501,30.74172018
KLHL21,11.99171777,12.51305173,10.98774404,15.31757143,12.00985278,9.087501741
PHF13,6.230990609,11.16549231,6.592646422,5.549293866,7.049261417,4.51778658
THAP3,11.16875675,13.09057719,8.790195229,9.464206662,9.57307106,9.970287625
DNAJC11,39.38456328,43.31440982,41.02091107,57.73546153,45.82019921,59.09472561
CAMTA1-DT,1.410790326,1.155050929,2.197548807,0.646150656,1.044335025,0.727000139
CAMTA1,302.3793933,368.4612462,347.2127116,515.5141966,586.0460047,441.7564418
AL512330.1,15.51869359,9.240407428,16.11535792,20.44876781,19.62479567,20.77143255
Z97987.1,5.760727166,3.465152786,6.592646422,4.979160935,6.091954311,7.114215649
AL359881.3,2.704014792,1.732576393,0.732516269,2.622611485,1.740558375,1.921357511
AL359881.2,0.587829303,0.385016976,1.465032538,1.102257001,0.609195431,0.778928721
AL359881.1,0.705395163,1.732576393,1.465032538,1.862434243,0.609195431,0.830857302
VAMP3,11.40388847,14.63064509,16.84787419,12.54292449,15.57799745,11.63200223
PER3,24.10100141,17.32576393,30.7656833,17.52208543,23.62807993,22.74471864
Z98884.1,1.881053769,1.732576393,4.395097615,1.140265863,1.522988578,2.077143255
UTS2,1.763487908,1.540067905,3.662581346,1.102257001,5.526272839,2.129071837
TNFRSF9,0.470263442,0,0.732516269,5.017169797,4.264368018,6.594929835
PARK7,112.157831,52.36230876,80.5767896,45.26855476,75.54023345,38.99836462
AL034417.4,4.232370979,6.737797083,5.127613884,4.371019141,4.78653553,5.919858277
AL034417.3,5.995858887,5.775254643,2.930065076,2.280531726,2.306239846,2.388714743
ERRFI1,14.69573257,19.4433573,9.522711499,18.43429812,26.63054313,24.35450467
AL034417.2,6.936385772,10.78047533,16.11535792,6.005400211,4.09031218,6.075644021
LINC01714,0,0.192508488,0,0,0,0.207714326
SLC45A1,12.57954708,16.74823846,11.72026031,29.34284154,29.58949237,27.0547909
RERE,807.9125936,606.209229,763.2819524,644.8963632,525.0394337,526.5038866
RERE-AS1,22.10238178,11.74301777,19.77793927,23.2614236,12.66256217,20.61564681
ENO1,92.28920052,118.2002117,90.0995011,40.25138496,57.43842636,40.50429348
ENO1-AS1,0.470263442,0.385016976,0,0,0,0.103857163
CA6,1.528356187,0.577525464,1.465032538,0.266062035,0.217569797,0.259642907
SLC2A5,2.586448932,2.695118833,2.930065076,1.064248139,1.958128171,1.402071697
GPR157,3.879673398,2.887627321,3.662581346,0.228053173,0.826765228,0.155785744
MIR34AHG,8.229610238,8.277864988,20.51045554,1.254292449,1.740558375,1.50592886
LNCTAM34A,1.763487908,4.235186738,2.197548807,0.19004431,0.261083756,0.207714326
H6PD,15.63625945,11.93552626,20.51045554,19.80261715,17.84072334,25.80850495
SPSB1,4.937766143,8.277864988,5.860130153,7.639781282,6.788177661,5.089000975
LINC02606,3.056712374,0.96254244,0,0.608141794,1.131362943,0.36350007
SLC25A33,22.80777694,22.13847613,20.51045554,42.15182807,29.63300633,31.7802918
TMEM201,5.760727166,9.432915916,2.930065076,6.043409074,6.527093904,6.075644021
PIK3CD,21.39698662,13.86061114,11.72026031,17.7501386,13.01067385,13.96878839
PIK3CD-AS2,2.821580653,1.155050929,2.197548807,0.266062035,0.391625634,0.207714326
CLSTN1,112.6280944,125.1305173,94.49459872,163.8562045,175.8834237,129.3540962
CTNNBIP1,46.08581733,31.76390053,43.21845988,49.98165366,39.5106751,44.39893708
AL357140.4,6.936385772,1.925084881,10.98774404,4.256992555,2.915435277,4.725500905
LZIC,37.85620709,30.99386658,23.44052061,27.51841616,30.11165988,22.43314716
AL357140.2,0,0,0,0,0,0.155785744
NMNAT1,13.16737638,7.700339523,10.98774404,15.77367777,15.14285786,18.48657497
RBP7,0.822961024,2.117593369,1.465032538,0.418097483,0.174055837,0.778928721
UBE4B,116.8604654,87.59136208,101.8197614,119.1957915,99.12479943,98.82009036
KIF1B,466.8540322,469.5282024,468.8104122,689.4807584,671.5509348,620.7023332
AL139424.3,25.04152829,21.56095067,14.65032538,17.90217405,15.14285786,15.94207448
AL139424.2,5.525595445,10.78047533,3.662581346,5.777347039,6.309524108,7.270001393
PGD,33.85896784,40.61929099,29.30065076,23.98359198,24.19376141,26.95093374
CENPS,10.46336159,10.20294987,10.25522777,7.639781282,7.745484767,7.841215788
CORT,1.998619629,3.850169762,2.197548807,4.599072314,7.223317254,2.492571906
DFFA,36.56298263,32.91895146,32.96323211,34.05594044,34.20197206,32.76693485
AL354956.1,0.117565861,0,0,0.228053173,0,0.207714326
PEX14,44.91015873,50.62973237,47.61355749,55.34090321,48.77914845,56.08286789
AL139423.2,3.291844095,0.577525464,2.197548807,1.824425381,3.133005074,2.232928999
CASZ1,2.586448932,6.160271619,2.197548807,0.380088621,0.478653553,0.519285814
AL139423.1,0,0.96254244,0.732516269,0.076017724,0.043513959,0.155785744
TARDBP,34.91706058,47.93461353,29.30065076,27.86049592,34.46305582,31.15714883
MASP2,5.525595445,9.817932892,8.05767896,2.546593761,3.307060912,5.66021537
AL109811.2,8.112044377,10.01044138,4.395097615,7.335710385,8.789819791,10.02221621
SRM,40.44265603,41.58183343,41.02091107,37.24868486,26.32594541,22.74471864
EXOSC10,42.55884151,36.76912122,37.35832973,47.32103331,44.73235023,56.23865363
AL109811.1,33.15357267,19.63586578,21.97548807,14.89947394,11.79228299,14.85157427
EXOSC10-AS1,0.705395163,0.192508488,0.732516269,0.076017724,0.65270939,0.311571488
MTOR,72.30300423,63.72030956,65.19394795,85.63396631,72.53777026,79.55458667
MTOR-AS1,4.820200282,2.502610345,2.930065076,3.344779865,2.654351521,6.38721551
ANGPTL7,12.93224466,2.695118833,9.522711499,6.955621764,4.438423855,6.075644021
UBIAD1,13.63763982,9.625424404,15.38284165,14.89947394,14.79474618,14.02071697
AL031291.1,3.879673398,3.465152786,2.197548807,3.762877348,2.958949237,3.219572045
DISP3,93.46485913,37.1541382,57.13626899,24.59173378,22.45320303,14.17650272
AL031731.1,4.232370979,9.240407428,5.127613884,6.195444522,5.178161164,4.15428651
FBXO2,21.39698662,15.78569602,13.18529284,15.27956256,17.71018146,10.48957344
FBXO44,22.10238178,37.1541382,21.2429718,35.42425947,30.98193907,36.71350703
FBXO6,15.75382531,6.930305571,5.127613884,12.27686246,9.834154816,9.399073229
MAD2L2,18.10514252,14.24562812,11.72026031,10.41442821,7.832512685,6.283358347
DRAXIN,81.23800963,43.12190133,36.62581346,29.87496561,25.41215227,5.089000975
AGTRAP,6.701254051,5.967763131,4.395097615,1.026239277,1.566502537,1.350143116
C1orf167,0.822961024,2.310101857,1.465032538,0.266062035,0.217569797,0.778928721
MTHFR,23.39560625,31.18637507,24.17303688,31.85142644,28.84975506,36.40193555
CLCN6,35.38732402,40.23427401,21.97548807,42.60793441,43.73152916,44.76243715
NPPA,2.11618549,2.117593369,1.465032538,2.16650514,1.871100253,3.115714883
AL021155.5,2.23375135,5.197729178,0.732516269,0.91221269,1.174876903,0.675071558
KIAA2013,14.22546913,14.82315358,15.38284165,10.45243708,12.00985278,12.04743088
PLOD1,14.22546913,12.8980687,13.91780911,10.07234846,9.007389588,12.20321662
AL096840.2,0.352697582,0.385016976,0.732516269,0.91221269,0.826765228,1.557857441
MFN2,21.51455248,31.95640902,28.5681345,27.02430095,28.06650379,29.44350564
MIIP,11.05119089,17.7107809,6.592646422,14.4433676,10.35632233,9.03557316
TNFRSF8,2.23375135,4.04267825,2.197548807,0.418097483,0.304597716,0.207714326
TNFRSF1B,0.352697582,0.385016976,2.930065076,0.19004431,0.087027919,0.103857163
VPS13D,112.7456603,128.0181446,109.8774404,166.1747451,194.0287448,192.4473226
DHRS3,8.464741959,5.390237666,16.84787419,0.874203828,2.262725887,1.86942893
PDPN,9.170137122,11.16549231,8.790195229,4.028939382,5.265189083,1.713643185
PRDM2,103.2228256,84.51122627,101.0872451,88.90272845,77.10673599,69.06501323
KAZN,1016.709562,754.6332733,607.2559871,1031.332464,557.6313892,554.9088206
