Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
FBXO6,6.550200369,4.322722088,4.608454054,5.670906659,5.0779232,5.045236713
MAD2L2,4.658892414,4.871544881,2.920886031,2.895956551,2.116826605,2.057653777
DRAXIN,5.950018805,5.662473361,2.667548946,3.015445535,2.713584113,1.064986446
AGTRAP,3.858207002,4.46840651,5.26946327,1.087871764,1.250568837,1.172517275
C1orf167,0.13056726,0.288502955,0.222624269,0.032753267,0.027294432,0.082069012
MTHFR,1.566134789,1.790669805,1.404990562,2.213502167,1.937557908,2.480518632
CLCN6,4.84266553,5.106145247,4.770390199,4.838529817,4.908713579,4.944372557
NPPA,3.084676502,4.007669798,4.385379014,1.731627512,1.451824129,2.156996924
AL021155.5,0.671045383,1.045325379,0.619905707,0.331167178,0.327316911,0.255409481
KIAA2013,4.701477353,6.381372919,5.268476762,3.15737763,3.676404389,3.633742843
PLOD1,3.68566149,7.732319611,4.365697591,2.036162774,1.622708692,2.223343377
AL096840.2,0.407470167,0.4774588,0.575918448,1.590016654,1.192514365,1.898289118
MFN2,4.10737385,6.11820295,4.09610206,4.931953176,5.071073616,5.085028669
MIIP,3.770742074,5.689816091,2.793847557,5.751480837,3.573720933,3.547843221
TNFRSF8,0.548553506,0.842128604,0.799047398,0.093067279,0.077556187,0.07407411
TNFRSF1B,0.152410344,0.323339952,0.433353141,0.037561934,0.101730398,0.157786001
VPS13D,4.983320614,5.631694131,6.341490312,7.824992338,8.645257817,8.565746293
DHRS3,7.776855056,3.976423584,14.44993677,0.598857268,0.698107182,0.705145251
PDPN,4.496378888,6.276451586,7.908672388,2.711596044,3.182142712,2.014332659
PRDM2,7.810147971,7.316117402,6.730941042,8.401337652,7.140065582,6.534559105
KAZN,50.12448991,33.46130135,73.00380381,107.3071523,78.72326364,94.39287915
AL357873.1,31.67511699,14.76377201,28.31630019,40.29457876,21.41464022,35.06085263
KAZN-AS1,11.67475811,5.437233316,11.80339508,13.19948876,7.861776823,12.42684913
AL031293.1,40.50479214,12.02437104,43.36784381,35.38771924,23.70443751,38.60812613
TMEM51-AS1,0.966903599,1.428388603,1.650440308,1.189192486,0.777816075,1.341664108
TMEM51,9.126885683,5.153696255,9.4420946,8.359398884,5.825696433,6.168355814
C1orf195,17.56531728,2.795141183,17.64100823,8.842867665,6.187901574,8.811800735
FHAD1,2.158430415,1.521939541,4.243066484,0.825632135,0.685719042,0.646846403
AL031283.2,1.883729335,0.613007892,2.857128431,0.716019577,0.428469835,0.636584072
AL031283.1,0.064380365,0.142647502,0.17647559,0.150733763,0.114192424,0.175716593
EFHD2,5.286137497,6.502408513,4.582776476,8.745640635,7.50194206,9.595595125
CTRC,0.069608025,0.228379661,0.142110224,0.054324428,0,0.099086853
CELA2A,0.63843252,1.215649708,1.403672203,0.342549671,0.428187762,0.90880713
CELA2B,7.27836205,7.175721378,17.73661886,6.643312336,6.202610948,9.765286279
CASP9,3.485517135,2.167458156,4.306788131,3.182560616,3.164610383,4.037181909
DNAJC16,4.579637774,3.778771642,5.282335034,4.212137572,4.567759646,4.422401302
AGMAT,2.761285113,1.643029061,2.571112496,1.505442666,1.041202466,1.662493737
AL121992.1,1.299572032,0.888711098,1.56580991,0.914469156,0.654677812,1.069710569
DDI2,2.356659323,1.751930344,2.329248097,2.575290358,2.417980042,2.411441342
