Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
PCDHA11,1.39405731,0.681811166,1.675282774,1.371786868,2.335589072,1.254980028
PCDHA12,8.152204707,4.77267816,8.071817001,36.94363945,19.92641816,27.26444111
AC005609.3,0,0,0,0.30746947,0.236515349,0.250996006
AC005609.1,8.303732675,2.130659893,7.881443959,12.67720278,11.61881652,12.04780827
PCDHA13,0.81825103,0.482949576,0.533044519,3.098346202,3.311214887,3.608067581
PCDHAC1,1.939557997,2.58520067,2.360625727,2.980088714,5.203337679,3.200199072
PCDHAC2,0.333361531,0.937490353,0.380746085,1.844816823,1.773865118,1.913844543
AC244517.5,7.970371145,4.488590174,5.178146756,10.05188653,7.627620007,4.957171112
PCDHB1,0.697028655,0.568175971,1.028014429,0.189211982,0.502595117,0.407868509
AC244517.9,0.121222375,0.340905583,0.190373042,0,0,0.313745007
PCDHB2,18.48641216,34.51669026,15.26791801,27.0100104,23.11937537,28.64491915
AC244517.2,75.85490105,39.37459482,78.12909663,53.66524834,40.44412469,65.91782598
PCDHB3,4.485227869,5.937438901,3.997833892,4.186315098,4.996386749,5.678784628
AC244517.1,9.637178799,10.36921148,6.168086576,4.541087563,6.681558611,5.114043615
PCDHB4,5.515618055,12.55668897,5.635042057,4.139012102,6.829380704,5.082669114
PCDHB5,6.455091459,5.198810138,4.721251454,5.960177427,12.18054048,2.66683256
AC244517.11,59.39896366,36.07917418,90.42719518,90.82175127,78.46396705,103.0966093
PCDHB6,1.363751717,2.215886288,1.675282774,2.365149773,3.399908143,2.415836554
AC244517.12,0.272750343,0.369314381,0.342671476,0.875105416,1.123447908,1.066733024
PCDHB7,0.424278312,1.221578339,0.533044519,1.206226384,1.921687211,1.31772903
PCDHB8,0,0.227270389,0,0.30746947,0.20695093,0.470617511
PCDHB16,3.394226495,6.789702858,4.150132326,8.254372706,10.4658042,8.376991689
AC244517.4,0,0,0.190373042,0.165560484,0.147822093,0.282370506
PCDHB9,7.455176052,11.47715462,10.16592047,13.45770221,13.8065835,15.59312685
AC244517.7,0,0.227270389,0.228447651,0.21286348,0.295644186,0.219621505
PCDHB10,8.485566238,13.32372653,6.282310402,9.034872131,12.74226443,7.655378172
PCDHB11,2.060780372,3.267011836,1.561058948,3.736936641,3.725116748,3.294322574
PCDHB12,2.485058684,3.409055828,2.474849552,2.341498275,4.612049306,3.513944079
PCDHB13,3.151781745,4.943130951,3.693237024,3.571376157,4.198147446,4.172808594
PCDHB14,9.273511674,17.27254953,9.63287595,12.5116423,15.37349769,12.76942179
PCDHB15,5.212562117,4.744269361,3.464789373,4.186315098,5.765061633,2.949203066
TAF7,51.82256524,54.20398767,52.04798981,47.09013197,53.06813144,45.52440053
SLC25A2,0,0,0,0.118257489,0.177386512,0.345119508
AC005618.4,3.333615308,1.78975431,3.921684675,3.405815673,2.867748607,2.070717047
AC005618.1,0.484889499,0.454540777,0.571119127,1.324483873,0.946061396,0.752988017
PCDHGA1,1.575890873,1.931798303,1.52298434,2.980088714,2.572104421,1.129482025
PCDHGB2,0,0.284087986,0,0.425726959,0.354773024,0.156872504
PCDHGA5,1.06069578,0.59658477,0.533044519,2.507058759,1.005190233,0.156872504
PCDHGA6,3.485143276,0.880672756,0.951865212,4.375527079,2.897313026,0.376494008
PCDHGB4,0.515195093,1.164760741,0.49496991,1.158923389,1.389527676,0.250996006
PCDHGA8,2.909336996,2.443156677,0.799566778,5.061420513,3.340779305,1.035358523
