"Gene"
"ENSG00000172548.14|NIPAL4"
"ENSG00000185933.6|CALHM1"
"ENSG00000245937.7|LINC01184"
"ENSG00000180098.9|TRNAU1AP"
"ENSG00000177352.9|CCDC71"
"ENSG00000068097.14|HEATR6"
"ENSG00000089169.14|RPH3A"
"ENSG00000196653.11|ZNF502"
"ENSG00000100146.16|SOX10"
"ENSG00000183044.11|ABAT"
"ENSG00000274114.2|CTC-281F24.3"
"ENSG00000151490.13|PTPRO"
"ENSG00000203780.10|FANK1"
"ENSG00000160094.14|ZNF362"
"ENSG00000174780.15|SRP72"
"ENSG00000186854.10|TRABD2A"
"ENSG00000248673.1|LINC01331"
"ENSG00000114853.13|ZBTB47"
"ENSG00000049167.13|ERCC8"
"ENSG00000256771.2|ZNF253"
"ENSG00000152457.17|DCLRE1C"
"ENSG00000183431.11|SF3A3"
"ENSG00000214548.14|MEG3"
"ENSG00000177932.6|ZNF354C"
"ENSG00000140950.15|TLDC1"
"ENSG00000177051.5|FBXO46"
"ENSG00000134986.13|NREP"
"ENSG00000104804.7|TULP2"
"ENSG00000121900.18|TMEM54"
"ENSG00000257433.5|RP1-197B17.3"
"ENSG00000129197.14|RPAIN"
"ENSG00000259172.1|RP11-299G20.2"
"ENSG00000145741.15|BTF3"
"ENSG00000168246.5|UBTD2"
"ENSG00000179163.11|FUCA1"
"ENSG00000113231.13|PDE8B"
"ENSG00000198753.11|PLXNB3"
"ENSG00000185896.10|LAMP1"
"ENSG00000153531.13|ADPRHL1"
"ENSG00000123560.13|PLP1"
"ENSG00000138660.11|AP1AR"
"ENSG00000135185.11|TMEM243"
"ENSG00000189337.16|KAZN"
"ENSG00000169758.12|TMEM266"
"ENSG00000143643.12|TTC13"
"ENSG00000174080.10|CTSF"
"ENSG00000105697.7|HAMP"
"ENSG00000171509.15|RXFP1"
"ENSG00000100372.14|SLC25A17"
"ENSG00000054654.15|SYNE2"
"ENSG00000235831.6|BHLHE40-AS1"
"ENSG00000197050.10|ZNF420"
"ENSG00000086300.15|SNX10"
"ENSG00000160209.18|PDXK"
"ENSG00000198056.13|PRIM1"
"ENSG00000086015.20|MAST2"
"ENSG00000157107.13|FCHO2"
"ENSG00000120162.9|MOB3B"
"ENSG00000266412.5|NCOA4"
"ENSG00000108381.10|ASPA"
"ENSG00000147905.17|ZCCHC7"
"ENSG00000164690.7|SHH"
"ENSG00000188725.7|SMIM15"
"ENSG00000158315.10|RHBDL2"
"ENSG00000065413.17|ANKRD44"
"ENSG00000127220.5|ABHD8"
"ENSG00000170364.12|SETMAR"
"ENSG00000114378.16|HYAL1"
"ENSG00000110047.17|EHD1"
"ENSG00000204136.10|GGTA1P"
"ENSG00000115365.11|LANCL1"
"ENSG00000100796.17|PPP4R3A"
"ENSG00000151468.10|CCDC3"
"ENSG00000145365.10|TIFA"
"ENSG00000119705.9|SLIRP"
"ENSG00000213465.7|ARL2"
"ENSG00000182253.14|SYNM"
"ENSG00000006652.13|IFRD1"
"ENSG00000127445.13|PIN1"
"ENSG00000135999.11|EPC2"
"ENSG00000143507.17|DUSP10"
"ENSG00000176973.7|FAM89B"
"ENSG00000170075.8|GPR37L1"
"ENSG00000037042.8|TUBG2"
"ENSG00000230061.2|TRPM2-AS"
"ENSG00000101407.12|TTI1"
"ENSG00000255248.7|MIR100HG"
"ENSG00000073670.13|ADAM11"
"ENSG00000141542.10|RAB40B"
"ENSG00000110777.11|POU2AF1"
"ENSG00000131469.12|RPL27"
"ENSG00000221955.10|SLC12A8"
"ENSG00000112167.9|SAYSD1"
"ENSG00000248455.5|RP11-321E2.3"
"ENSG00000183775.10|KCTD16"
"ENSG00000142541.16|RPL13A"
